Cluster,Reviews,Professors,Review-weighted Quality,Review-weighted Difficulty,Professor-weighted Quality,Professor-weighted Difficulty
Gottwald Sciences,527,65,4.0702087286527515,3.23719165085389,4.05082416219584,3.1874497201345466
Math & CS,369,41,3.5121951219512195,3.3604336043360434,3.734027225713217,3.1166221273492796
Robins Business,607,73,4.036243822075782,3.085667215815486,3.80902879665619,2.9873153402329837
Economics,377,27,3.702917771883289,3.259946949602122,3.7908698593096073,3.154890369033143
Jepson,155,18,3.9870967741935486,3.3096774193548386,4.06288282302775,3.170732488123792
A&S Humanities / Social Sciences / Arts,1556,243,4.133033419023136,3.0044987146529563,4.112903128841668,2.929200529874669
