Comparison,Period,Estimate,SE,CI Low,CI High,p-value,N,R-squared
Robins minus Gottwald,All-time,-0.2991125566176845,0.11527486681076062,-0.5250512955667753,-0.07317381766859368,0.00946523480360572,2882,0.039841441295880964
Robins minus Gottwald,2022-2026,-0.3450617479457574,0.13247384068645635,-0.6047104756912118,-0.08541302020030295,0.009194028275629486,1090,0.0383366505469398
Robins minus Broad STEM,All-time,-0.2618354808526314,0.10865064589579854,-0.47479074680839656,-0.04888021489686628,0.015957582141523815,3840,0.03153045057184445
Robins minus Broad STEM,2022-2026,-0.3418121914171263,0.1329868319603396,-0.602466382059392,-0.08115800077486068,0.010161900014022326,1402,0.03396668362635047
