Cluster,Reviews,Professors,Review-weighted Quality,Review-weighted Difficulty,Professor-weighted Quality,Professor-weighted Difficulty
Gottwald Sciences,1532,97,3.8296344647519582,3.2774151436031334,3.717158282351458,3.206174307104355
Math & CS,1154,65,3.335355285961872,3.3648180242634314,3.514188613314368,3.2143471739566536
Robins Business,1652,121,3.86319612590799,3.1464891041162226,3.795862552608533,2.98642742486141
Economics,1123,41,3.6491540516473733,3.346393588601959,3.6036744878835645,3.023209032860708
Jepson,428,32,3.9088785046728973,3.30607476635514,3.8185034332443872,3.2533268954128087
A&S Humanities / Social Sciences / Arts,5877,426,3.8902501276161305,3.1138335885655946,3.9258860266722793,2.9232834390404774
